,Date,NumberFire Cost,NumberFire Points,Predicted Cost,Predicted Points
0,20160206.0,49900,388.5,49900,401.25
0,20151130.0,48200,387.25,49300,388.0
0,20160211.0,48100,310.25,48100,310.25
0,20160112.0,49600,364.5,49600,364.5
0,20160202.0,49500,383.0,49900,383.5
0,20160221.0,49700,397.75,49500,398.25
0,20151221.0,49500,377.5,49400,380.25
0,20160301.0,49700,365.0,49100,365.0
0,20160127.0,50000,388.75,50000,388.75
0,20160203.0,49100,394.75,49700,397.5
0,20160114.0,50000,388.75,50000,388.75
0,20160209.0,49500,362.25,49400,367.25
0,20160106.0,49800,386.0,49800,386.0
0,20151215.0,49700,335.75,49700,335.75
0,20160128.0,49900,371.5,49300,379.5
0,20151210.0,49100,321.5,49200,327.5
0,20160105.0,48900,383.0,49900,384.75
0,20160227.0,49700,423.75,49600,426.5
0,20151203.0,49200,349.5,49200,349.5
0,20160111.0,49500,303.75,49700,306.0
0,20160228.0,49400,338.5,50000,341.0
0,20151214.0,49700,385.25,49700,387.25
0,20160120.0,49800,412.75,49800,412.75
0,20160220.0,48700,418.75,48700,418.75
0,20151228.0,49400,396.75,49400,396.75
0,20160110.0,49900,386.0,49900,386.0
0,20151207.0,49400,349.5,49700,352.75
0,20160126.0,49600,380.25,49600,380.25
0,20151201.0,49300,408.25,49800,414.5
0,20160226.0,49900,401.25,49900,401.25
0,20151206.0,50000,357.5,49900,357.25
0,20160125.0,49800,425.25,49800,425.25
0,20151124.0,50000,351.5,50000,351.5
0,20160224.0,49800,361.5,49900,361.5
0,20160225.0,49900,382.75,50000,383.25
0,20160204.0,49900,377.5,49800,378.0
0,20151227.0,49900,373.75,49900,373.75
0,20151117.0,49900,377.0,49900,377.0
0,20160223.0,49800,364.0,49900,364.0
0,20160222.0,49600,408.25,49700,412.75
0,20160113.0,49800,383.0,49800,383.0
0,20160117.0,50000,303.5,49400,317.75
0,20151122.0,49200,375.25,49800,377.5
0,20160119.0,49100,335.0,49100,335.0
0,20151119.0,49700,330.75,49700,330.75
0,20160129.0,49100,383.0,49900,385.75
0,20151220.0,49900,370.75,49500,371.5
0,20160219.0,49200,437.75,49500,439.0
0,20160208.0,49700,390.25,49900,394.75
0,20160207.0,48900,352.5,48900,352.5
0,20160205.0,49900,393.25,49900,393.25
0,20160118.0,50000,449.75,50000,449.75
0,20160107.0,49600,333.0,49300,334.0
0,20160130.0,48800,410.0,48800,410.0
0,20160218.0,49900,320.5,50000,320.5
0,20151229.0,49800,389.75,49800,389.75
0,20151123.0,49000,386.0,49000,386.0
0,20151213.0,48500,336.5,49800,338.5
0,20151202.0,49600,410.5,49600,410.5
0,20160210.0,49700,410.5,49800,410.75
0,20151230.0,49600,387.0,49900,391.25
0,20151208.0,49700,389.25,49600,390.5
0,20160201.0,49500,393.0,49500,393.0
0,20160124.0,48500,371.5,49700,374.5
0,20160121.0,50000,342.25,50000,342.25
